"X3656","X557","X3975","X511","X2742","X4507","X4195","X3002","X904","X4271","X338","X1228","X3721","X1771","X4875","X1558","X4164","X214","X719","X1600","X1328","X3965","X4652","X1258","X3062","X4856","X4878","X2301","X4386","X579","X4585","X568","X3543","X4493","X3065","X4553","X948","X1599","X3468","X2554","X1030","X3827","X4963","X1813","X3426","X1359","X576","X455","X934","X4228","X4456","X1663","X2662","X3699","X1606","X3443","X4424","X2740","X1479","X2007","X532","X4694","X1358","X4869","X698","X3694","X554","X139","X3418","X1277","X2489","X1155","X1532","X2641","X2673","X2764","X2094","X4106","X4412","X596","X2474","X4876","X1929","X4596","X1495","X1762","X4655","X3248","X4980","X3188","X4503","X3648","X4916","X3066","X3893","X2812","X1861","X3172","X3463","X2367","Label"
0,0,0,0,0,0,0,0,0,0.509509509509509,0,0,0,0,0,0,0,0.991991991991992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983983983983984,0,0,0,0,0,0.513513513513513,0,0,0,0.509509509509509,0.983983983983984,0,0.983983983983984,0,0,0,0,0,0,0,0,0,0.991991991991992,0,0.509509509509509,0,0.983983983983984,0,0,0,0,0,0.983983983983984,0,0.509509509509509,0,0,0.983983983983984,0,0.983983983983984,0.509509509509509,0.509509509509509,0,0,0,0,0,0.983983983983984,0.983983983983984,0,0.983983983983984,0,0,0,0.983983983983984,0,0.983983983983984,0.983983983983984,0.509509509509509,0.983983983983984,0.983983983983984,0.991991991991992,0.983983983983984,1
0.995995995995996,0.991991991991992,0.987987987987988,0.987987987987988,0.983983983983984,0.991991991991992,0.925925925925926,0.960960960960961,0.862862862862863,0.925925925925926,0.806806806806807,0.897897897897898,0.983983983983984,0.956956956956957,0.956956956956957,0.92992992992993,0.952952952952953,0.991991991991992,0.7997997997998,0.7997997997998,0.925925925925926,0.987987987987988,0.987987987987988,0.890890890890891,0,0,0.828828828828829,0.983983983983984,0.991991991991992,0,0.890890890890891,0,0,0.983983983983984,0.862862862862863,0.767767767767768,0,0.983983983983984,0.983983983983984,0.952952952952953,0.952952952952953,0,0.932932932932933,0.983983983983984,0.960960960960961,0.952952952952953,0.896896896896897,0,0.843843843843844,0.983983983983984,0.983983983983984,0.890890890890891,0.987987987987988,0.74974974974975,0,0.983983983983984,0,0,0,0.968968968968969,0.952952952952953,0,0,0,0.964964964964965,0.956956956956957,0.855855855855856,0.61961961961962,0.509509509509509,0,0,0.797797797797798,0,0.945945945945946,0.847847847847848,0.952952952952953,0.983983983983984,0.925925925925926,0.925925925925926,0.773773773773774,0,0.987987987987988,0,0.894894894894895,0,0.983983983983984,0.983983983983984,0,0,0,0.734734734734735,0.960960960960961,0,0,0.960960960960961,0,0.814814814814815,0,0,0.960960960960961,-1
0,0,0,0,0,0.592592592592593,0,0.885885885885886,0,0.863863863863864,0,0,0,0,0,0,0,0.870870870870871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587587587587588,0,0.54954954954955,0.878878878878879,0,0.991991991991992,0.346346346346346,0,0,0,0.614614614614615,0,0.863863863863864,0,0,0,0,0,0,0,0.545545545545546,0,0,0.604604604604605,0,0,0,0,0.882882882882883,0,0,0,0,0,0.983983983983984,0,0.58958958958959,0.614614614614615,0.878878878878879,0,0.57957957957958,0.57957957957958,0,0,0,0,0,0,0,0,0,0,0,0.878878878878879,0,0,0,0,0,0.987987987987988,0,0.991991991991992,0,1
0.991991991991992,0.995995995995996,0.851851851851852,0.987987987987988,0.987987987987988,0.991991991991992,0.745745745745746,0.956956956956957,0,0.742742742742743,0,0,0.987987987987988,0.948948948948949,0.948948948948949,0.742742742742743,0.533533533533533,0.991991991991992,0,0,0.643643643643644,0.902902902902903,0.902902902902903,0,0.825825825825826,0.825825825825826,0.987987987987988,0.737737737737738,0.858858858858859,0,0,0,0,0.535535535535536,0,0,0,0.987987987987988,0.987987987987988,0.952952952952953,0.948948948948949,0.983983983983984,0.748748748748749,0.983983983983984,0.737737737737738,0.821821821821822,0.402402402402402,0.987987987987988,0.991991991991992,0.983983983983984,0.855855855855856,0,0,0,0,0.851851851851852,0,0.948948948948949,0.987987987987988,0.858858858858859,0.948948948948949,0,0,0,0.987987987987988,0,0,0,0.987987987987988,0,0,0.742742742742743,0,0.991991991991992,0.987987987987988,0.903903903903904,0.533533533533533,0.742742742742743,0.742742742742743,0.867867867867868,0,0.991991991991992,0.804804804804805,0,0.92992992992993,0.902902902902903,0,0,0,0,0.697697697697698,0.855855855855856,0.867867867867868,0.983983983983984,0.851851851851852,0.742742742742743,0.991991991991992,0,0.991991991991992,0.855855855855856,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838838838838839,0,0,0,0.782782782782783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822822822822823,0,0,0,0,0,0.832832832832833,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90990990990991,0,1
0,0,0,0,0,0.995995995995996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991991991991992,0,0,0,0,0.995995995995996,0.991991991991992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592592592593,0,0.991991991991992,0,0.494494494494495,0,0,0,0,0,0,0,0.835835835835836,0,0,0,0,0,0.991991991991992,0.991991991991992,0,0,0,0,0,0,0,0,0,0,0,0,0.58958958958959,0,0,0.58958958958959,0,0,0.58958958958959,0.995995995995996,0.401401401401401,1
0,0,0,0,0,0.588588588588589,0,0,0,0,0.983983983983984,0.991991991991992,0,0,0,0,0.583583583583584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983983983983984,0.983983983983984,0,0.583583583583584,0,0,0,0.583583583583584,0.991991991991992,0.583583583583584,0,0,0.983983983983984,0,0.583583583583584,0,0,0.983983983983984,0,0,0.583583583583584,0,0,0,0,0,0,0,0,0,0,0,0,0.983983983983984,0,0,0,0.983983983983984,0,0,0,0,0,0.983983983983984,0.983983983983984,0,0,0,0,0.983983983983984,0,0,0,0,0,0.983983983983984,0,0,0,0,0,0.983983983983984,0,0,0.975975975975976,0,-1
0,0.603603603603604,0,0,0.594594594594595,0,0,0,0,0,0,0,0.594594594594595,0,0,0,0,0.983983983983984,0,0,0,0,0,0,0,0,0.513513513513513,0.968968968968969,0.983983983983984,0.594594594594595,0,0,0.968968968968969,0.594594594594595,0,0,0.968968968968969,0,0.594594594594595,0,0,0,0,0,0.968968968968969,0,0,0.968968968968969,0,0,0.640640640640641,0,0,0,0,0,0,0,0.594594594594595,0.983983983983984,0,0,0.968968968968969,0.983983983983984,0.513513513513513,0,0,0,0.594594594594595,0.77977977977978,0,0,0,0,0.968968968968969,0,0.968968968968969,0,0,0,0,0,0.92992992992993,0,0.92992992992993,0.976976976976977,0,0.702702702702703,0,0,0,0.640640640640641,0,0.968968968968969,0,0,0,0.968968968968969,0.983983983983984,0.968968968968969,1
